,character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,vowel_backedness,vowel_height,vowel_roundedness,masculine,feminine
26,拔,ba2,8,667,96,0.748,351,89,88,137,80,18,1.093,0.434,0.421,0.662,0.476,0.2,0.548,5.81,71.707,4.138,2.1875,2.3,2.2,pa,2,mid,rising,0,1,0,center,low,unround,0.8741808650065531,0.8741808650065531
32,班,ban1,10,5120,2273,0.385,1558,1159,1171,1780,1439,287,4.854,5.654,5.603,8.599,8.565,3.189,6.077,5.15,255.703,3.591,2.75,2.7,2.9,pan,1,high,level,1,0,0,center,low,unround,0.6925470039226295,0.6925470039226295
33,板,ban3,8,1220,2912,-0.409,2014,656,534,475,349,102,6.274,3.2,2.555,2.295,2.077,1.133,2.922,5.406,196.729,3.704,2.1875,2.3,2.8,pʰan,3,low,falling-rising,0,1,1,center,low,unround,0.2952565343659245,0.2952565343659245
34,邦,bang1,6,673998,154210,0.628,357808,153670,123211,84030,68308,41017,1114.667,749.61,589.526,405.942,406.595,455.744,620.347,3.207,57.816,4.231,3.9375,3.7,3.6,paŋ,1,high,level,1,0,0,center,low,unround,0.8138028128199679,0.8138028128199679
35,帮,bang1,9,293280,125144,0.402,167513,88421,75438,46555,30126,9602,521.847,431.322,360.947,224.903,179.321,106.689,304.172,3.515,249.207,3.602,3.125,4.0,3.1,paŋ,1,high,level,1,0,0,center,low,unround,0.7009158174483299,0.7009158174483299
36,榜,bang3,14,63269,3175,0.904,31786,10085,7866,7407,6512,3189,99.022,49.195,37.636,35.783,38.762,35.433,49.305,4.298,20.451,4.669,3.375,3.1,3.5,paŋ,3,low,falling-rising,0,1,1,center,low,unround,0.9522153994341099,0.9522153994341099
56,奔,ben1,8,42332,4410,0.811,989,1163,2654,10973,23288,7679,3.081,5.673,12.699,53.01,138.619,85.322,49.734,4.295,89.908,4.041,3.6875,3.1,3.3,pen,1,high,level,1,0,0,front,middle,unround,0.9056523041376064,0.9056523041376064
57,犇,ben1,12,15187,658,0.917,198,360,770,5522,6900,2094,0.617,1.756,3.684,26.676,41.071,23.267,16.179,4.765,0.0,6.0,3.625,3.0,3.0,犇,1,high,level,1,0,0,missing,missing,missing,0.9584727043231304,0.9584727043231304
58,本,ben3,5,1096052,401865,0.463,711590,318846,236043,130050,71536,29278,2216.791,1555.346,1129.392,628.261,425.81,325.311,1046.819,2.98,2041.249,2.69,3.25,3.2,3.1,pen,3,low,falling-rising,0,1,1,front,middle,unround,0.7317174449585658,0.7317174449585658
59,笨,ben4,11,293,209,0.167,164,66,45,61,136,30,0.511,0.322,0.215,0.295,0.81,0.333,0.414,5.85,20.515,4.667,1.0625,2.3,1.3,pen,4,high,falling,0,0,1,front,middle,unround,0.5836653386454184,0.5836653386454184
60,镚,beng4,16,16,0,1.0,0,0,0,5,7,4,0.0,0.0,0.0,0.024,0.042,0.044,0.018,5.992,0.0,6.0,2.1875,2.3,2.5,peŋ,4,high,falling,0,0,1,front,middle,unround,1.0,1.0
61,比,bi3,4,5245,3339,0.222,1894,1097,1305,1673,1740,874,5.9,5.351,6.244,8.082,10.357,9.711,7.608,5.065,1197.996,2.921,2.5625,2.6,3.0,pi,3,low,falling-rising,0,1,1,front,high,unround,0.6110205032618826,0.6110205032618826
62,彼,bi3,8,1446,138,0.826,581,81,97,279,335,213,1.81,0.395,0.464,1.348,1.994,2.367,1.396,5.621,71.129,4.142,3.125,3.2,2.9,pi,3,low,falling-rising,0,1,1,front,high,unround,0.9128787878787878,0.9128787878787878
63,必,bi4,5,335288,172516,0.321,222915,107802,87438,48764,30268,10720,694.439,525.863,418.364,235.575,180.167,119.111,362.253,3.44,903.513,3.044,3.5,2.8,3.8,pi,4,high,falling,0,0,1,front,high,unround,0.660270498066183,0.660270498066183
64,毕,bi4,6,22837,13225,0.267,9545,6990,7519,6072,4408,1544,29.735,34.098,35.976,29.333,26.238,17.156,28.756,4.526,127.851,3.89,3.3125,2.9,3.3,pi,4,high,falling,0,0,1,front,high,unround,0.6332704786201542,0.6332704786201542
65,铋,bi4,10,46,28,0.243,8,11,15,16,19,5,0.025,0.054,0.072,0.077,0.113,0.056,0.066,5.972,0.643,5.784,2.5,2.5,3.0,pi,4,high,falling,0,0,1,front,high,unround,0.6216216216216216,0.6216216216216216
66,弼,bi4,12,6039,391,0.878,2666,726,675,936,891,522,8.305,3.541,3.23,4.522,5.304,5.8,5.117,5.213,9.004,5.0,3.0625,3.0,3.5,pi,4,high,falling,0,0,1,front,high,unround,0.9391912908242612,0.9391912908242612
67,碧,bi4,14,222613,2524623,-0.838,1197562,601436,483682,245525,167954,46673,3730.723,2933.834,2314.268,1186.111,999.726,518.589,1947.209,2.71,27.011,4.553,4.1875,3.9,3.1,pi,4,high,falling,0,0,1,front,high,unround,0.0810316259687919,0.0810316259687919
