character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,tone_melody,tone_register,tone_pitch,vowel_backedness,vowel_height,vowel_roundedness,size,masculine,feminine
菲,fei1,11,61661,803923,-0.858,9087,13829,47742,264744,275193,254488,28.308,67.459,228.431,1278.957,1638.054,2827.644,1011.476,2.995,29.776,4.512,4.3125,3.2,3.2,fei,1,high,level,1,0,0,high,+upper,raised_H,front,high,unround,small,0.07123629826799016,0.9287637017320098
绯,fei1,11,415,2047,-0.663,138,439,702,636,369,173,0.43,2.141,3.359,3.072,2.196,1.922,2.187,5.497,2.765,5.424,2.625,3.0,2.5,fei,1,high,level,1,0,0,high,+upper,raised_H,front,high,unround,small,0.1685621445978879,0.8314378554021121
霏,fei1,16,16534,82923,-0.668,1101,1319,4325,18463,26820,47403,3.43,6.434,20.694,89.193,159.643,526.7,134.349,3.869,1.865,5.543,4.125,3.5,3.1,fei,1,high,level,1,0,0,high,+upper,raised_H,front,high,unround,small,0.16624269784932183,0.8337573021506782
斐,fei3,12,72863,105514,-0.183,6675,7643,17351,57494,55133,33656,20.794,37.283,83.019,277.749,328.173,373.956,186.829,3.726,5.274,5.202,4.125,3.9,3.8,fei,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,high,unround,small,0.40847755035682853,0.5915224496431715
翡,fei3,14,744,5124,-0.746,148,232,561,2326,1864,751,0.461,1.132,2.684,11.237,11.095,8.344,5.826,5.166,4.63,5.249,3.75,3.3,3.1,fei,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,high,unround,small,0.12678936605316973,0.8732106339468303
费,fei4,9,1397,543,0.44,456,203,183,404,441,251,1.421,0.99,0.876,1.952,2.625,2.789,1.776,5.557,367.862,3.433,2.75,2.4,2.7,fei,4,high,falling,0,0,1,low,-upper,raised_L,front,high,unround,small,0.7201030927835051,0.27989690721649485
分,fen1,4,16847,127655,-0.767,57333,32896,28480,17420,7139,1170,178.607,160.468,136.268,84.155,42.494,13.0,102.499,3.985,2990.553,2.524,2.4375,2.3,2.7,fen,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.11658662163845483,0.8834133783615452
芬,fen1,7,169957,9044552,-0.963,3699783,2224852,1747731,1032678,431379,82524,11525.804,10852.937,8362.349,4988.783,2567.732,916.933,6535.756,2.185,29.519,4.515,4.0625,3.3,3.0,fen,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.018444498779045092,0.9815555012209549
纷,fen1,7,305,4715,-0.878,199,219,473,2176,1619,334,0.62,1.068,2.263,10.512,9.637,3.711,4.635,5.249,117.433,3.927,3.25,3.2,2.8,fen,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.060756972111553786,0.9392430278884463
汾,fen2,7,453,1289,-0.48,304,162,245,401,440,190,0.947,0.79,1.172,1.937,2.619,2.111,1.596,5.586,2.637,5.439,3.0,3.0,2.7,fen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.2600459242250287,0.7399540757749713
粉,fen3,10,7186,669340,-0.979,258180,179800,137155,72323,25753,3707,804.299,877.073,656.244,349.386,153.292,41.189,480.247,3.318,128.88,3.886,2.9375,2.9,2.6,fen,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,middle,unround,missing,0.010621912535512309,0.9893780874644877
份,fen4,6,296,811,-0.465,580,103,85,127,156,56,1.807,0.502,0.407,0.614,0.929,0.622,0.814,5.741,147.016,3.83,2.3125,2.4,2.5,fen,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.26738934056007224,0.7326106594399278
奋,fen4,8,42429,13138,0.527,9312,10844,11513,11859,9607,2494,29.009,52.898,55.086,57.29,57.185,27.711,46.53,4.323,145.859,3.833,3.9375,3.4,4.0,fen,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.7635647056706318,0.23643529432936816
丰,feng1,4,1208088,297327,0.605,400543,246670,321665,267105,177650,90655,1247.798,1203.268,1539.067,1290.362,1057.44,1007.278,1224.202,2.912,223.161,3.649,4.4375,3.8,3.9,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.8024949930749993,0.19750500692500075
风,feng1,4,771131,2518815,-0.531,1494010,778233,521324,310076,145870,37764,4654.237,3796.259,2494.373,1497.952,868.274,419.6,2288.449,2.64,745.371,3.127,3.625,3.3,3.1,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.23439016932192808,0.7656098306780719
沣,feng1,7,12759,2150,0.712,235,223,767,2240,3518,7957,0.732,1.088,3.67,10.821,20.94,88.411,20.944,4.659,3.216,5.375,3.4375,3.2,3.3,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.8557918036085586,0.14420819639144142
枫,feng1,8,165961,82373,0.337,15262,15787,31829,52929,78929,53542,47.545,77.01,152.292,255.696,469.815,594.911,266.212,3.573,9.84,4.965,4.0,3.6,3.2,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.6682975347717187,0.3317024652282813
封,feng1,9,8481,938,0.801,1210,883,1983,2863,1847,627,3.769,4.307,9.488,13.831,10.994,6.967,8.226,5.035,299.242,3.523,3.0,2.6,3.4,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.9004140566939165,0.09958594330608345
峰,feng1,10,5863450,528587,0.835,535958,855481,1969361,1737346,952525,330094,1669.651,4173.078,9422.78,8392.976,5669.792,3667.711,5499.331,2.26,75.116,4.119,4.125,3.4,3.8,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.9173053910670417,0.08269460893295831
烽,feng1,11,86785,4500,0.901,1615,2830,6807,20999,33021,26093,5.031,13.805,32.569,101.444,196.554,289.922,106.554,3.968,2.572,5.447,3.5625,3.3,3.5,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.9507038396231582,0.04929616037684176
锋,feng1,12,3160501,208152,0.876,169098,364792,1022885,1012432,580129,221055,526.785,1779.473,4894.187,4890.976,3453.149,2456.167,3000.123,2.523,77.431,4.106,4.125,2.8,3.9,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.9382091298806972,0.06179087011930288
蜂,feng1,13,1141,3160,-0.469,1589,614,611,738,518,247,4.95,2.995,2.923,3.565,3.083,2.744,3.377,5.359,57.173,4.235,2.1875,2.6,2.7,feŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.2652871425249942,0.7347128574750058
冯,feng2,5,14921,7725,0.318,1445,1368,2507,6016,7046,4268,4.502,6.673,11.995,29.063,41.94,47.422,23.599,4.609,47.719,4.312,3.25,2.8,2.8,pʰiŋ,2,mid,rising,0,1,0,high,+upper,raised_L,front,high,unround,small,0.6588801554358386,0.34111984456416145
逢,feng2,10,81983,37974,0.367,42014,20373,21150,19176,12072,5114,130.885,99.38,101.196,92.638,71.857,56.822,92.13,4.031,35.629,4.436,3.25,3.0,3.3,feŋ,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.6834365647690422,0.31656343523095776
凤,feng4,4,1899398,16170557,-0.79,7473507,4232507,2959868,2057638,1020675,309962,23281.953,20646.376,14162.048,9940.28,6075.446,3444.022,12925.021,1.889,59.231,4.22,4.3125,3.8,3.5,feŋ,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.10511359878870756,0.8948864012112925
奉,feng4,8,50473,31710,0.228,29603,15772,13874,10620,8244,4067,92.221,76.937,66.383,51.304,49.071,45.189,63.518,4.19,62.318,4.198,3.5,3.6,3.5,feŋ,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.614153778762031,0.3858462212379689
俸,feng4,10,2109,933,0.387,666,378,372,458,611,553,2.075,1.844,1.78,2.213,3.637,6.144,2.949,5.404,1.736,5.563,2.8125,2.8,3.1,feŋ,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.6932938856015779,0.3067061143984221
佛,fo2,7,25361,11699,0.369,19525,4774,2954,4901,3762,1082,60.826,23.288,14.134,23.676,22.393,12.022,26.057,4.568,189.462,3.72,2.875,3.3,3.1,fu,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.6843227199136536,0.3156772800863465
夫,fu1,4,267998,68595,0.592,159283,67144,40933,32405,25875,10989,496.209,327.532,195.852,156.546,154.018,122.1,242.043,3.614,380.146,3.419,3.0,2.9,3.0,fu,1,high,level,1,0,0,high,+upper,raised_H,back,high,rounded,missing,0.796207883111057,0.20379211688894303
敷,fu1,15,91,85,0.034,72,24,14,24,31,11,0.224,0.117,0.067,0.116,0.185,0.122,0.139,5.943,10.997,4.921,2.5625,2.5,2.8,fu,1,high,level,1,0,0,high,+upper,raised_H,back,high,rounded,missing,0.5170454545454546,0.48295454545454547
伏,fu2,6,74242,100337,-0.149,94726,42171,24299,9193,3321,825,295.097,205.712,116.263,44.411,19.768,9.167,115.07,3.935,99.361,3.998,2.625,2.8,2.8,fu,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.4252630614220496,0.5747369385779504
芙,fu2,7,2406,155921,-0.97,37706,26742,35256,26572,20088,12073,117.464,130.449,168.689,128.367,119.571,134.144,133.114,3.873,8.875,5.005,3.8125,3.4,3.2,fu,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.015196397329577394,0.9848036026704226
孚,fu2,7,2971,777,0.585,1681,392,322,417,469,459,5.237,1.912,1.541,2.014,2.792,5.1,3.099,5.387,7.524,5.069,3.0625,2.8,2.9,fu,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.7926894343649946,0.20731056563500533
绂,fu2,8,72,26,0.469,65,5,9,5,9,5,0.202,0.024,0.043,0.024,0.054,0.056,0.067,5.972,0.0,6.0,2.875,2.6,2.7,fu,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.7346938775510204,0.2653061224489796
符,fu2,11,1338,699,0.314,769,320,279,284,257,136,2.396,1.561,1.335,1.372,1.53,1.511,1.618,5.582,137.37,3.859,3.0,3.0,2.8,fu,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.6568483063328424,0.3431516936671576
涪,fu2,11,983,216,0.64,155,118,160,190,308,268,0.483,0.576,0.766,0.918,1.833,2.978,1.259,5.646,1.736,5.563,3.125,3.1,3.0,fu,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.8198498748957465,0.18015012510425354
福,fu2,13,7617439,1830935,0.612,4317666,2014433,1440631,921184,522228,236086,13450.673,9826.502,6892.971,4450.164,3108.5,2623.178,6725.331,2.172,212.293,3.671,4.625,4.4,2.9,fu,2,mid,rising,0,1,0,high,+upper,raised_L,back,high,rounded,missing,0.8062169215570848,0.19378307844291515
甫,fu3,7,358992,27683,0.857,205751,69254,47742,34621,20569,9048,640.969,337.824,228.431,167.251,122.435,100.533,266.241,3.573,27.204,4.55,3.6875,3.6,3.5,fu,3,low,falling-rising,0,1,1,low,-upper,raised_H,back,high,rounded,missing,0.9284075774229004,0.07159242257709963
府,fu3,8,24676,803,0.937,7550,3903,4004,5070,3620,1338,23.52,19.039,19.158,24.493,21.548,14.867,20.438,4.669,312.04,3.504,3.375,2.9,3.1,fu,3,low,falling-rising,0,1,1,low,-upper,raised_H,back,high,rounded,missing,0.9684838494446407,0.031516150555359314
俯,fu3,10,79,4,0.904,6,5,20,22,17,13,0.019,0.024,0.096,0.106,0.101,0.144,0.082,5.966,19.358,4.691,2.4375,2.6,2.8,fu,3,low,falling-rising,0,1,1,low,-upper,raised_H,back,high,rounded,missing,0.9518072289156626,0.04819277108433735
辅,fu3,11,17045,1181,0.87,8405,2667,2412,1941,1684,1068,26.184,13.01,11.541,9.377,10.024,11.867,13.667,4.834,39.68,4.391,3.0,3.4,3.0,fu,3,low,falling-rising,0,1,1,low,-upper,raised_H,back,high,rounded,missing,0.9352024580269944,0.06479754197300559
付,fu4,5,1437762,419838,0.548,874998,442755,303620,151452,61601,15428,2725.85,2159.78,1452.727,731.652,366.673,171.422,1268.017,2.897,115.825,3.932,3.1875,2.7,3.2,fu,4,high,falling,0,0,1,low,-upper,raised_L,back,high,rounded,missing,0.7739890180878553,0.2260109819121447
阜,fu4,8,2266,211,0.83,745,289,347,509,435,156,2.321,1.41,1.66,2.459,2.589,1.733,2.029,5.519,6.753,5.111,3.375,2.9,3.2,fu,4,high,falling,0,0,1,low,-upper,raised_L,back,high,rounded,missing,0.9148163100524829,0.08518368994751715
复,fu4,9,55569,17209,0.527,37366,13510,10355,6452,3568,1420,116.405,65.902,49.545,31.169,21.238,15.778,50.006,4.292,513.592,3.289,3.125,3.0,3.4,fu,4,high,falling,0,0,1,low,-upper,raised_L,back,high,rounded,missing,0.7635411800269312,0.23645881997306878
赋,fu4,12,8663,616,0.867,1102,894,1310,1708,2240,2026,3.433,4.361,6.268,8.251,13.333,22.511,9.693,4.971,39.101,4.397,4.1875,3.4,3.7,fu,4,high,falling,0,0,1,low,-upper,raised_L,back,high,rounded,missing,0.933613535941373,0.06638646405862701
傅,fu4,12,4322,800,0.688,1249,519,459,763,1319,838,3.891,2.532,2.196,3.686,7.851,9.311,4.911,5.228,62.254,4.199,3.375,3.6,3.5,fu,4,high,falling,0,0,1,low,-upper,raised_L,back,high,rounded,missing,0.8438110113237017,0.15618898867629832
富,fu4,12,4678606,646489,0.757,2179322,1099169,842327,589729,412862,199220,6789.165,5361.8,4030.273,2848.932,2457.512,2213.556,3950.206,2.403,350.948,3.454,4.4375,3.3,3.4,fu,4,high,falling,0,0,1,low,-upper,raised_L,back,high,rounded,missing,0.8785957809203404,0.1214042190796596
馥,fu4,18,5441,29443,-0.688,9241,2942,2796,5432,7575,6944,28.788,14.351,13.378,26.242,45.089,77.156,34.167,4.454,1.415,5.617,4.3125,3.8,3.4,fu,4,high,falling,0,0,1,low,-upper,raised_L,back,high,rounded,missing,0.155974085540649,0.844025914459351
伽,ga1,7,2493,4389,-0.276,114,69,324,1285,2122,2963,0.355,0.337,1.55,6.208,12.631,32.922,9.001,5.0,12.605,4.866,3.0625,2.8,2.9,t͡ɕia,1,high,level,1,0,0,high,+upper,raised_H,front,high,unround,small,0.36224934612031384,0.6377506538796861
嘎,ga1,14,17208,13541,0.119,6864,4959,6296,7045,4400,1183,21.383,24.19,30.124,34.034,26.19,13.144,24.844,4.588,18.007,4.721,2.4375,2.6,2.5,ka,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.5596279553806628,0.4403720446193372
尕,ga3,5,3441,11351,-0.535,5676,2864,3276,1545,1185,246,17.682,13.971,15.675,7.464,7.054,2.733,10.763,4.929,0.0,6.0,2.75,2.8,2.6,ka,3,low,falling-rising,0,1,1,low,-upper,raised_H,center,low,unround,large,0.23262574364521363,0.7673742563547864
改,gai3,7,71320,973131,-0.863,422844,261610,193303,125758,36490,5409,1317.271,1276.146,924.895,607.527,217.202,60.1,733.857,3.134,805.888,3.093,2.3125,2.4,2.8,kai,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,high,unround,small,0.06828467778766069,0.9317153222123393
盖,gai4,11,6191,810,0.769,541,355,536,1943,2923,703,1.685,1.732,2.565,9.386,17.399,7.811,6.763,5.11,140.135,3.85,2.75,2.8,3.0,kai,4,high,falling,0,0,1,low,-upper,raised_L,front,high,unround,small,0.8843022425367805,0.11569775746321954
甘,gan1,5,9364,5995,0.219,4408,1734,1697,2642,3138,1711,13.732,8.459,8.12,12.763,18.679,19.011,13.461,4.84,65.598,4.177,3.5625,3.4,2.9,kan,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.6096751090565792,0.3903248909434208
敢,gan3,11,24836,966,0.925,2110,3966,7657,7026,3975,1069,6.573,19.346,36.636,33.942,23.661,11.878,22.006,4.638,170.104,3.767,3.625,2.9,3.3,kan,3,low,falling-rising,0,1,1,low,-upper,raised_H,center,low,unround,large,0.962561041779707,0.037438958220293
感,gan3,13,981,290,0.544,111,65,101,240,420,334,0.346,0.317,0.483,1.159,2.5,3.711,1.419,5.616,920.813,3.035,3.4375,3.6,3.1,kan,3,low,falling-rising,0,1,1,low,-upper,raised_H,center,low,unround,large,0.7718332022029898,0.22816679779701024
干,gan4,3,195905,60130,0.53,101337,54640,47531,30334,17026,5057,315.692,266.537,227.421,146.541,101.345,56.189,185.621,3.729,853.736,3.068,2.25,2.4,2.8,kan,4,high,falling,0,0,1,low,-upper,raised_L,center,low,unround,large,0.7651492959946882,0.23485070400531177
淦,gan4,11,53046,3899,0.863,17382,6865,6051,8479,10918,7219,54.15,33.488,28.952,40.961,64.988,80.211,50.458,4.289,0.0,6.0,3.0625,3.0,3.3,kan,4,high,falling,0,0,1,low,-upper,raised_L,center,low,unround,large,0.9315304240934235,0.06846957590657653
赣,gan4,21,6266,987,0.728,1140,1296,1085,1395,1424,915,3.551,6.322,5.191,6.739,8.476,10.167,6.741,5.111,10.033,4.957,3.0,2.8,2.7,kan,4,high,falling,0,0,1,low,-upper,raised_L,center,low,unround,large,0.8639183786019579,0.1360816213980422
冈,gang1,4,4260,195,0.912,520,552,1051,1355,811,163,1.62,2.693,5.029,6.546,4.827,1.811,3.754,5.323,17.428,4.735,2.75,2.7,3.2,kaŋ,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.9562289562289562,0.04377104377104377
刚,gang1,6,5298773,54426,0.98,687832,933431,1717787,1368402,554739,91909,2142.779,4553.322,8219.077,6610.638,3302.018,1021.211,4308.174,2.366,339.887,3.467,4.0,3.0,3.7,kaŋ,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.9898329951866165,0.010167004813383548
纲,gang1,7,63647,1220,0.962,10539,8565,23380,14300,6226,1890,32.832,41.78,111.866,69.082,37.06,21.0,52.27,4.274,61.032,4.207,3.375,2.9,3.3,kaŋ,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.9811922857539273,0.018807714246072735
钢,gang1,9,433473,6684,0.97,54907,77461,136806,104084,49279,17938,171.05,377.859,654.574,502.821,293.327,199.311,366.49,3.435,129.331,3.885,3.5625,2.7,3.1,kaŋ,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.9848145093682481,0.015185490631751852
罡,gang1,10,35173,796,0.956,925,2656,9519,9905,8044,4894,2.882,12.956,45.545,47.85,47.881,54.378,35.249,4.441,0.322,5.879,3.375,3.1,3.8,kaŋ,1,high,level,1,0,0,high,+upper,raised_H,center,low,unround,large,0.9778698323556396,0.022130167644360422
岗,gang3,7,248584,2906,0.977,37343,40479,77736,65860,26371,3699,116.333,197.459,371.943,318.164,156.97,41.1,200.328,3.696,56.658,4.239,2.875,3.0,3.2,kaŋ,3,low,falling-rising,0,1,1,low,-upper,raised_H,center,low,unround,large,0.9884448685832439,0.011555131416756133
港,gang3,12,89578,4024,0.914,2494,3065,11572,15693,52808,7775,7.769,14.951,55.368,75.812,314.333,86.389,92.437,4.029,94.088,4.022,3.125,3.1,3.0,kaŋ,3,low,falling-rising,0,1,1,low,-upper,raised_H,center,low,unround,large,0.9570094656097092,0.042990534390290804
皋,gao1,10,3996,113,0.945,2262,420,414,533,320,159,7.047,2.049,1.981,2.575,1.905,1.767,2.887,5.41,2.058,5.515,3.5,2.6,3.0,kao,1,high,level,1,0,0,high,+upper,raised_H,center,middle,rounded,large,0.9724993915794597,0.02750060842054028
高,gao1,10,1989633,247741,0.779,744971,404433,404269,355307,236205,91857,2320.782,1972.844,1934.301,1716.459,1405.982,1020.633,1728.5,2.762,1892.24,2.723,4.0,3.3,3.7,kao,1,high,level,1,0,0,high,+upper,raised_H,center,middle,rounded,large,0.8892715299274954,0.11072847007250464
郜,gao4,9,78,14,0.696,8,2,6,24,37,17,0.025,0.01,0.029,0.116,0.22,0.189,0.098,5.959,0.0,6.0,3.1875,3.1,3.3,kao,4,high,falling,0,0,1,low,-upper,raised_L,center,middle,rounded,large,0.8478260869565217,0.15217391304347827
戈,ge1,4,49167,17842,0.467,5574,7298,11276,14983,17071,10844,17.364,35.6,53.952,72.382,101.613,120.489,66.9,4.168,24.824,4.588,3.4375,3.0,3.8,ke,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.7337372591741408,0.2662627408258592
鸽,ge1,11,18538,137021,-0.762,9127,13424,25625,47751,45013,14431,28.433,65.483,122.608,230.681,267.935,160.344,145.914,3.833,20.966,4.658,2.9375,3.1,2.4,ke,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.11917021837373601,0.880829781626264
歌,ge1,14,44489,136870,-0.509,9863,13619,27780,49333,50278,30461,30.726,66.434,132.919,238.324,299.274,338.456,184.356,3.732,228.177,3.64,3.625,3.6,2.9,ke,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.24530902795008794,0.7546909720499121
革,ge2,9,166002,54547,0.505,27514,135990,33003,15716,7133,1140,85.713,663.366,157.909,75.923,42.458,12.667,173.006,3.759,795.406,3.099,3.3125,3.0,3.4,ke,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.7526762760202949,0.2473237239797052
阁,ge2,9,105031,124410,-0.084,87254,48968,33752,30386,20829,8318,271.819,238.868,161.493,146.792,123.982,92.422,172.563,3.761,25.146,4.583,3.5,3.3,3.1,ke,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.45776909968139956,0.5422309003186004
格,ge2,10,100443,346407,-0.55,112256,80650,64734,56827,74565,57966,349.707,393.415,309.732,274.527,443.839,644.067,402.548,3.394,639.579,3.193,3.6875,3.3,3.4,ke,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.22478012755958376,0.7752198724404162
哿,ge3,10,286,205,0.165,10,20,52,100,157,153,0.031,0.098,0.249,0.483,0.935,1.7,0.583,5.801,0.0,6.0,2.9375,2.6,2.9,ke,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,middle,unround,missing,0.5824847250509165,0.4175152749490835
舸,ge3,11,6858,2161,0.521,116,862,2230,1691,2725,1395,0.361,4.205,10.67,8.169,16.22,15.5,9.188,4.992,0.0,6.0,3.6875,2.9,3.0,ke,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,middle,unround,missing,0.7603947222530214,0.2396052777469786
葛,ge3,12,6821,2400,0.479,698,640,863,2624,2829,1573,2.174,3.122,4.129,12.676,16.839,17.478,9.403,4.983,28.876,4.525,3.1875,3.0,2.9,ke,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,middle,unround,missing,0.7397245418067455,0.26027545819325454
各,ge4,6,8858,17353,-0.324,11605,4894,3484,3028,2375,846,36.153,23.873,16.67,14.628,14.137,9.4,19.144,4.696,1388.873,2.857,2.3125,2.7,2.7,ke,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.33794971576818894,0.6620502842318111
根,gen1,10,3150023,628983,0.667,1986425,890473,486725,247523,132032,36079,6188.24,4343.771,2328.828,1195.763,785.905,400.878,2540.564,2.595,808.782,3.092,3.0,3.0,2.6,ken,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.8335586130321042,0.1664413869678958
亘,gen4,6,1267,271,0.648,67,82,179,411,492,307,0.209,0.4,0.856,1.986,2.929,3.411,1.632,5.58,3.537,5.343,4.0625,2.8,3.5,ken,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.8237971391417426,0.17620286085825748
艮,gen4,6,43223,68203,-0.224,58802,24599,14177,9359,4194,336,183.184,119.995,67.833,45.213,24.964,3.733,74.154,4.124,0.772,5.752,3.3125,2.5,3.0,ken,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.38790766966417173,0.6120923303358282
庚,geng1,8,215470,48963,0.63,116680,39958,33889,29756,28937,14998,363.489,194.917,162.148,143.749,172.244,166.644,200.532,3.696,9.647,4.973,3.9375,3.1,3.5,keŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.8148377849965776,0.18516221500342242
耕,geng1,10,32193,3739,0.792,11525,6708,4959,4406,5485,2848,35.903,32.722,23.727,21.285,32.649,31.644,29.655,4.513,70.55,4.145,3.5,3.5,3.0,keŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.8959423355226539,0.1040576644773461
赓,geng1,12,5236,169,0.937,140,225,602,1565,2069,801,0.436,1.098,2.88,7.56,12.315,8.9,5.532,5.185,1.929,5.533,3.75,3.0,3.1,keŋ,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.9687326549491212,0.03126734505087882
耿,geng3,10,82459,7210,0.839,8723,7339,12282,21414,26325,12142,27.174,35.8,58.766,103.449,156.696,134.911,86.133,4.06,15.242,4.789,3.6875,3.4,3.3,keŋ,3,low,falling-rising,0,1,1,low,-upper,raised_H,front,middle,unround,missing,0.919593170437944,0.08040682956205601
更,geng4,7,68495,7703,0.798,31269,18565,12771,7968,4653,1081,97.411,90.561,61.105,38.493,27.696,12.011,54.546,4.255,850.456,3.07,2.75,2.8,2.8,keŋ,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.8989081078243524,0.10109189217564765
弓,gong1,3,3101,183,0.889,361,348,556,1149,722,148,1.125,1.698,2.66,5.551,4.298,1.644,2.829,5.417,23.602,4.609,2.8125,3.0,3.3,koŋ,1,high,level,1,0,0,high,+upper,raised_H,back,middle,rounded,missing,0.9442752740560292,0.055724725943970765
公,gong1,4,114954,17652,0.734,59768,31531,20740,12257,6464,2314,186.193,153.81,99.234,59.213,38.476,25.711,93.773,4.023,1079.727,2.966,3.25,3.4,3.0,koŋ,1,high,level,1,0,0,high,+upper,raised_H,back,middle,rounded,missing,0.8668838514094385,0.1331161485905615
功,gong1,5,525672,56298,0.807,244340,124113,96285,61868,37793,17051,761.184,605.429,460.694,298.879,224.958,189.456,423.433,3.372,402.655,3.394,3.75,3.4,3.2,koŋ,1,high,level,1,0,0,high,+upper,raised_H,back,middle,rounded,missing,0.903263054796639,0.096736945203361
攻,gong1,7,425,113,0.58,104,61,97,136,103,37,0.324,0.298,0.464,0.657,0.613,0.411,0.461,5.835,158.335,3.798,2.1875,2.2,3.1,koŋ,1,high,level,1,0,0,high,+upper,raised_H,back,middle,rounded,missing,0.7899628252788105,0.2100371747211896
宫,gong1,9,2016,591,0.547,384,200,304,705,654,358,1.196,0.976,1.455,3.406,3.893,3.978,2.484,5.458,91.708,4.033,3.125,3.1,3.2,koŋ,1,high,level,1,0,0,high,+upper,raised_H,back,middle,rounded,missing,0.7733026467203682,0.22669735327963175
恭,gong1,10,28536,2182,0.858,13520,4977,3973,3740,2744,1744,42.118,24.278,19.01,18.068,16.333,19.378,23.198,4.616,22.252,4.634,3.375,3.7,3.2,koŋ,1,high,level,1,0,0,high,+upper,raised_H,back,middle,rounded,missing,0.928966729604792,0.07103327039520801
龚,gong1,11,5863,1428,0.608,224,343,699,1952,2846,1227,0.698,1.673,3.344,9.43,16.94,13.633,7.62,5.064,8.296,5.032,3.125,3.1,2.9,koŋ,1,high,level,1,0,0,high,+upper,raised_H,back,middle,rounded,missing,0.8041420929913592,0.19585790700864078
