character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,tone_melody,tone_register,tone_pitch,vowel_backedness,vowel_height,vowel_roundedness,size,masculine,feminine
巢,chao2,11,393,124,0.52,123,43,72,122,122,35,0.383,0.21,0.344,0.589,0.726,0.389,0.44,5.842,27.525,4.545,2.5,2.7,2.8,ʈ͡ʂʰao,2,mid,rising,0,1,0,high,+upper,raised_L,center,middle,rounded,large,0.7601547388781431,0.23984526112185686
朝,chao2,12,2802255,1103856,0.435,1284376,757534,817760,530998,358454,157677,4001.171,3695.288,3912.727,2565.208,2133.655,1751.967,3010.003,2.521,284.643,3.544,4.0,4.0,3.8,ʈ͡ʂao,2,mid,rising,0,1,0,high,+upper,raised_L,center,middle,rounded,large,0.717402808061522,0.28259719193847793
潮,chao2,15,223546,16760,0.861,65761,38592,36094,38359,43561,17639,204.863,188.254,172.699,185.309,259.292,195.989,201.068,3.695,133.125,3.872,3.125,2.9,2.7,ʈ͡ʂʰao,2,mid,rising,0,1,0,high,+upper,raised_L,center,middle,rounded,large,0.9302555907884115,0.06974440921158856
车,che1,4,6405,7427,-0.074,3737,2392,2820,2502,1914,469,11.642,11.668,13.493,12.087,11.393,5.211,10.916,4.924,600.349,3.221,3.0625,2.9,3.1,t͡ɕy,1,high,level,1,0,0,high,+upper,raised_H,front,high,rounded,missing,0.46305668016194335,0.5369433198380567
彻,che4,7,3050,313,0.814,447,202,211,328,538,1621,1.393,0.985,1.01,1.585,3.202,18.011,4.364,5.271,120.841,3.914,3.25,2.8,3.4,ʈ͡ʂʰe,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.9069283377936367,0.09307166220636337
澈,che4,15,4344,2059,0.357,258,218,429,1049,1885,2562,0.804,1.063,2.053,5.068,11.22,28.467,8.113,5.04,8.746,5.011,4.0625,3.8,3.7,ʈ͡ʂʰe,4,high,falling,0,0,1,low,-upper,raised_L,front,middle,unround,missing,0.678431985007028,0.32156801499297205
郴,chen1,10,2501,819,0.507,136,203,342,765,987,885,0.424,0.99,1.636,3.696,5.875,9.833,3.742,5.324,0.45,5.839,3.625,3.3,3.2,ʈ͡ʂʰen,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.7533132530120482,0.24668674698795182
琛,chen1,12,177680,86023,0.348,20421,7675,20292,50396,95918,68935,63.617,37.439,97.091,243.459,570.94,765.944,296.415,3.527,1.608,5.584,4.375,3.9,3.9,ʈ͡ʂʰen,1,high,level,1,0,0,high,+upper,raised_H,front,middle,unround,missing,0.6737883148845482,0.32621168511545184
臣,chen2,6,1315806,62211,0.91,641319,301866,195132,123798,79218,38907,1997.879,1472.517,933.646,598.058,471.536,432.3,984.323,3.006,54.343,4.257,3.0,3.1,3.3,ʈ͡ʂʰen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.95485469337461,0.045145306625389965
尘,chen2,6,14800,6299,0.403,1696,768,1205,3129,8755,5631,5.283,3.746,5.766,15.116,52.113,62.567,24.099,4.6,50.292,4.29,2.0625,3.3,2.7,ʈ͡ʂʰen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.7014550452628087,0.29854495473719134
辰,chen2,7,399521,159184,0.43,67770,25415,21625,84320,134575,224955,211.121,123.976,103.469,407.343,801.042,2499.5,691.075,3.16,13.248,4.846,4.1875,3.6,3.8,ʈ͡ʂʰen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.7150839888671123,0.28491601113288767
沉,chen2,7,2877,5044,-0.274,1511,796,815,1987,2367,450,4.707,3.883,3.9,9.599,14.089,5.0,6.863,5.104,256.86,3.589,2.375,2.7,2.9,ʈ͡ʂʰen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.3632117156924631,0.636788284307537
忱,chen2,7,36516,8383,0.627,17984,7754,4803,5882,6081,2390,56.025,37.824,22.981,28.415,36.196,26.556,34.666,4.448,5.274,5.202,3.4375,3.4,2.9,ʈ͡ʂʰen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.8132920555023497,0.18670794449765027
陈,chen2,7,215129,187502,0.069,93371,27574,35860,78601,104533,62658,290.875,134.507,171.579,379.715,622.22,696.2,382.516,3.416,290.495,3.535,3.0625,2.7,2.9,ʈ͡ʂʰen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.5343080885475783,0.46569191145242167
宸,chen2,10,107931,30533,0.559,1426,583,1314,8662,35091,91397,4.442,2.844,6.287,41.845,208.875,1015.522,213.303,3.669,0.45,5.839,4.25,3.6,3.2,ʈ͡ʂʰen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.7794878091056159,0.2205121908943841
晨,chen2,11,1136672,815879,0.164,27649,36921,72658,311776,786120,713577,86.134,180.102,347.646,1506.164,4679.286,7928.633,2454.661,2.61,65.662,4.176,4.625,3.7,3.6,ʈ͡ʂʰen,2,mid,rising,0,1,0,high,+upper,raised_L,front,middle,unround,missing,0.5821471500616373,0.4178528499383627
